ID,Symbol,Opening direction,Opening time,Closing time,Entry price,Closing price,Gross $,Net $
139012301,EURUSD,Buy,11/06/2026 09:14:23,11/06/2026 11:47:08,"1,08342","1,08671","168,00","164,50"
139012302,GBPUSD,Sell,11/06/2026 10:22:47,11/06/2026 14:33:19,"1,27854","1,27412","112,25","110,50"
139012303,XAUUSD,Buy,11/06/2026 08:05:12,11/06/2026 10:18:44,"2318,45","2331,80","138,50","133,50"
139012304,US500.cas,Buy,11/06/2026 14:10:33,11/06/2026 16:44:21,"5291,93","5295,37","86,00","86,00"
139012305,XAUUSD,Buy,11/06/2026 09:30:00,11/06/2026 15:22:10,"4080,54","4081,66","33,60","31,88"
139012306,AUDUSD,Sell,11/06/2026 10:45:18,11/06/2026 13:07:55,"0,6996","0,69952","24,00","9,00"
139012307,US500.cas,Buy,11/06/2026 09:02:41,11/06/2026 12:30:15,"7301,56","7302,35","39,50","39,50"
139012308,XAUUSD,Buy,11/06/2026 09:10:45,11/06/2026 14:30:22,"4080,683","4113,09","1037,04","1035,20"
139012309,US500.cas,Buy,11/06/2026 09:33:07,11/06/2026 11:48:20,"7298,93","7280,37","-464,00","-464,00"
139012310,US500.cas,Sell,11/06/2026 14:55:42,11/06/2026 17:12:08,"7303,03","7290,37","-316,50","-316,50"
139012311,XAUUSD,Buy,11/06/2026 09:07:28,11/06/2026 10:44:55,"4122,75","4136,79","140,40","139,82"
139012312,XAUUSD,Buy,11/06/2026 10:30:15,11/06/2026 13:02:44,"4138,87","4171,29","324,20","323,62"
